LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 1.4
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.010 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.098 | 3.098 | 3.098 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     33250   3.0046658      3.6431175      0              8.1479155      70.681734    
     33500   2.8881644      3.6202049      0              7.9503361      70.503014    
     33750   2.9703426      3.727937       0              8.1812753      71.708382    
     34000   2.9950243      3.5210636      0              8.0114064      69.455578    
     34250   3.0266982      3.6881699      0              8.2260004      70.958759    
     34500   3.0064517      3.5847302      0              8.0922058      70.229801    
     34750   3.0081378      3.4787886      0              7.988792       68.822276    
     35000   3.0326719      3.6977908      0              8.2445775      71.32271     
     35250   2.9041986      3.6412331      0              7.9954039      70.752378    
     35500   3.056011       3.6951835      0              8.2769618      71.240503    
     35750   2.9328865      3.638322       0              8.0355036      70.632449    
     36000   3.0611118      3.7304417      0              8.3198674      71.875854    
     36250   3.0373905      3.5949921      0              8.1488532      70.333852    
     36500   2.9712863      3.6856911      0              8.1404442      71.307251    
     36750   3.0757517      3.6447335      0              8.2561084      71.125302    
     37000   2.9489067      3.6006361      0              8.0218363      69.827464    
     37250   2.9915383      3.8093736      0              8.29449        72.298005    
     37500   3.0434735      3.5261916      0              8.0891727      69.633394    
     37750   2.9728888      3.7730382      0              8.2301941      72.073496    
     38000   3.0212671      3.6583915      0              8.1880793      70.85116     
     38250   3.0182694      3.6038337      0              8.1290271      70.156741    
     38500   3.0540658      3.7329065      0              8.3117683      72.030274    
     38750   2.9219236      3.659152       0              8.0398972      70.609155    
     39000   3.0383832      3.6663274      0              8.2216769      70.805166    
     39250   2.8909397      3.7643161      0              8.0986082      72.013075    
     39500   3.0357131      3.5959511      0              8.1472973      70.274026    
     39750   3.0108581      3.6560641      0              8.1701459      71.110475    
     40000   2.9322451      3.6335855      0              8.0298055      70.40352     
     40250   3.0127642      3.7347604      0              8.2517001      71.961649    
     40500   2.8933199      3.6231785      0              7.9610392      70.670124    
     40750   3.0077505      3.6751676      0              8.1845905      71.281514    
     41000   2.8933751      3.6819821      0              8.0199256      70.95031     
     41250   2.9247529      3.7091892      0              8.0941765      71.367577    
     41500   3.0086474      3.6807723      0              8.1915398      71.510306    
     41750   2.8905896      3.6308913      0              7.9646586      70.535113    
